﻿Ready For This|All Good Things|Battle Rock 2|Rock|306|2013
I Am The Enemy|All Good Things|Battle Rock 2|Rock|287|2013
Fight|All Good Things|Battle Rock 2|Rock|253|2013
Get Up|All Good Things|Battle Rock 2|Rock|270|2013
Never Surrender|All Good Things|Battle Rock 2|Rock|320|2013
Watch Them Fall|All Good Things|Battle Rock 2|Rock|336|2013
Angels|All Good Things|Battle Rock 2|Rock|271|2013
The Reaper|All Good Things|Battle Rock 2|Rock|240|2013
Actors|All Time Low|Actors (Single)|Pop-Punk|278|2010
The Reckless and the Brave|All Time Low|Don't Panic: It's Longer Now!|Punk|198|2013
A Love Like War (Feat. Vic Fuentes)|All Time Low|Don't Panic: It's Longer Now!|Punk|213|2013
A Love Like War (Feat. Vic Fuentes)|All Time Low|Don't Panic: It's Longer Now!|Punk|213|2013
Backseat Serenade|All Time Low|Don't Panic: It's Longer Now!|Punk|200|2013
Backseat Serenade|All Time Low|Don't Panic: It's Longer Now!|Punk|200|2013
Me Without You (All I Ever Wanted)|All Time Low|Don't Panic: It's Longer Now!|Punk|213|2013
If These Sheets Were States|All Time Low|Don't Panic: It's Longer Now!|Punk|199|2013
If These Sheets Were States|All Time Low|Don't Panic: It's Longer Now!|Punk|199|2013
Somewhere in Neverland|All Time Low|Don't Panic: It's Longer Now!|Punk|225|2013
Somewhere in Neverland|All Time Low|Don't Panic: It's Longer Now!|Punk|225|2013
So Long Soldier|All Time Low|Don't Panic: It's Longer Now!|Punk|169|2013
Canals|All Time Low|Don't Panic: It's Longer Now!|Punk|202|2013
The Irony of Choking on a Lifesaver|All Time Low|Don't Panic: It's Longer Now!|Punk|216|2013
To Live and Let Go|All Time Low|Don't Panic: It's Longer Now!|Punk|223|2013
Outlines|All Time Low|Don't Panic: It's Longer Now!|Punk|215|2013
Thanks to You|All Time Low|Don't Panic: It's Longer Now!|Punk|214|2013
For Baltimore|All Time Low|Don't Panic: It's Longer Now!|Punk|191|2013
Paint You Wings|All Time Low|Don't Panic: It's Longer Now!|Punk|220|2013
So Long, and Thanks for All The Booze|All Time Low|Don't Panic: It's Longer Now!|Punk|189|2013
Oh, Calamity|All Time Low|Don't Panic: It's Longer Now!|Punk|226|2013
For Baltimore (Acoustic)|All Time Low|Don't Panic: It's Longer Now!|Punk|209|2013
Somewhere In Neverland (Acoustic)|All Time Low|Don't Panic: It's Longer Now!|Punk|220|2013
The Reckless And The Brave (Acoustic)|All Time Low|Don't Panic: It's Longer Now!|Punk|217|2013
Backseat Serenade (Acoustic)|All Time Low|Don't Panic: It's Longer Now!|Punk|195|2013
Satellite|All Time Low|Future Hearts (Deluxe Edition)|Punk|144|2015
Kicking & Screaming|All Time Low|Future Hearts (Deluxe Edition)|Punk|206|2015
Something's Gotta Give|All Time Low|Future Hearts (Deluxe Edition)|Punk|189|2015
Kids in the Dark|All Time Low|Future Hearts (Deluxe Edition)|Punk|216|2015
Runaways|All Time Low|Future Hearts (Deluxe Edition)|Punk|214|2015
Missing You|All Time Low|Future Hearts (Deluxe Edition)|Punk|244|2015
Cinderblock Garden|All Time Low|Future Hearts (Deluxe Edition)|Punk|215|2015
Tidal Waves (feat. Mark Hoppus)|All Time Low|Future Hearts (Deluxe Edition)|Punk|249|2015
Don't You Go|All Time Low|Future Hearts (Deluxe Edition)|Punk|185|2015
Bail Me Out (feat. Joel Madden)|All Time Low|Future Hearts (Deluxe Edition)|Punk|213|2015
Dancing with a Wolf|All Time Low|Future Hearts (Deluxe Edition)|Punk|220|2015
The Edge of Tonight|All Time Low|Future Hearts (Deluxe Edition)|Punk|231|2015
Old Scars (Future Hearts)|All Time Low|Future Hearts (Deluxe Edition)|Punk|206|2015
Bottle and a Beat|All Time Low|Future Hearts (Deluxe Edition)|Punk|220|2015
Your Bed|All Time Low|Future Hearts (Deluxe Edition)|Punk|220|2015
Cinderblock Garden (Acoustic)|All Time Low|Future Hearts (Deluxe Edition)|Punk|227|2015
Weightless (The Secret Handshake Remix) [Bonus Track]|All Time Low|Nothing Personal|Pop-Punk|188|2009
Coffee Shop Soundtrack (Acoustic Remix)|All Time Low|Nothing Personal|Pop-Punk|233|2009
Break Out! Break Out! (Acoustic)|All Time Low|So Wrong, It's Right|Pop-Punk|185|2007
This Is How We Do It|All Time Low|So Wrong, It's Right (Deluxe Edition)|Pop-Punk|149|2007
Let It Roll|All Time Low|So Wrong, It's Right (Deluxe Edition)|Pop-Punk|180|2007
Six Feet Under the Stars|All Time Low|So Wrong, It's Right (Deluxe Edition)|Pop-Punk|216|2007
Holly (Would You Turn Me On?)|All Time Low|So Wrong, It's Right (Deluxe Edition)|Pop-Punk|232|2007
The Beach|All Time Low|So Wrong, It's Right (Deluxe Edition)|Pop-Punk|181|2007
Dear Maria, Count Me In|All Time Low|So Wrong, It's Right (Deluxe Edition)|Pop-Punk|182|2007
Shameless|All Time Low|So Wrong, It's Right (Deluxe Edition)|Pop-Punk|221|2007
Remebering Sunday|All Time Low|So Wrong, It's Right (Deluxe Edition)|Pop-Punk|256|2007
Vegas|All Time Low|So Wrong, It's Right (Deluxe Edition)|Pop-Punk|169|2007
Stay Awake (Dreams Only Last For A Night)|All Time Low|So Wrong, It's Right (Deluxe Edition)|Pop-Punk|214|2007
